file,run_label,row,col,hit,err_pt,head_tz_mm,head_yaw_deg,head_pitch_deg,n_samples
person-2,Experiment 3 (5×4 dots),4,-1,1,14.68231929907532,254.04,177.264,15.138,50
person-2,Experiment 3 (5×4 dots),3,-1,1,22.029039924608643,254.69,176.833,14.651,19
person-2,Experiment 3 (5×4 dots),1,-1,1,74.36639093031208,254.04,177.581,13.182,24
person-2,Experiment 3 (5×4 dots),4,3,1,69.17075971825086,254.88,176.98,15.009,71
person-2,Experiment 3 (5×4 dots),-1,2,1,27.633693202320966,256.56,177.965,13.323,50
person-2,Experiment 3 (5×4 dots),3,2,1,33.121873437352534,257.77,178.221,14.523,67
person-2,Experiment 3 (5×4 dots),-1,3,1,33.6122671059243,257.57,178.207,13.767,19
person-2,Experiment 3 (5×4 dots),2,-1,1,8.226621420729172,258.55,179.301,15.001,58
person-2,Experiment 3 (5×4 dots),3,1,1,28.403978594556087,259.02,178.638,15.092,43
person-2,Experiment 3 (5×4 dots),1,2,1,36.12628544425791,258.02,178.365,14.557,32
person-2,Experiment 3 (5×4 dots),3,3,1,25.715271727127465,259.04,179.181,15.917,69
person-2,Experiment 3 (5×4 dots),2,1,1,22.296208197808006,260.36,179.64,15.599,36
person-2,Experiment 3 (5×4 dots),1,3,1,34.17293080787771,259.72,179.69,14.914,60
person-2,Experiment 3 (5×4 dots),2,2,1,61.03277152481281,219.65,177.794,11.804,23
person-2,Experiment 3 (5×4 dots),4,-1,1,35.73477857773852,219.18,178.694,12.886,18
person-2,Experiment 3 (5×4 dots),1,3,1,69.53124477528073,218.09,178.055,11.612,21
person-2,Experiment 3 (5×4 dots),-1,1,1,37.332464424412166,218.95,177.754,11.249,38
person-2,Experiment 3 (5×4 dots),-1,2,1,7.224236983931232,218.64,177.296,11.289,25
person-2,Experiment 3 (5×4 dots),3,1,1,49.556877423824794,220.19,178.714,13.391,17
person-2,Experiment 3 (5×4 dots),4,3,1,25.392853325296127,220.61,178.706,14.313,67
person-2,Experiment 3 (5×4 dots),3,2,1,64.74313090977292,220.62,178.795,14.606,14
person-2,Experiment 3 (5×4 dots),3,-1,1,48.64267365184606,220.99,178.35,14.737,18
person-2,Experiment 3 (5×4 dots),3,3,1,53.40065917196152,221.87,178.416,14.582,20
person-2,Experiment 3 (5×4 dots),1,-1,1,48.832794308743,221.89,177.605,14.791,57
person-2,Experiment 3 (5×4 dots),2,-1,1,53.659207970300876,225.29,177.489,15.593,17
person-2,Experiment 3 (5×4 dots),-1,-1,0,80.06143203815431,228.53,177.874,15.463,87
person-2,Experiment 3 (5×4 dots),2,1,1,37.029303261066104,230.54,178.897,17.169,15
person-2,Experiment 3 (5×4 dots),4,2,1,42.04350722763268,227.78,178.309,17.642,22
person-2,Experiment 3 (5×4 dots),2,3,1,55.264810684557666,227.41,177.509,17.291,17
person-2,Experiment 3 (5×4 dots),-1,3,1,48.01638262093473,227.95,176.823,16.368,16
person-2,Experiment 3 (5×4 dots),1,2,1,35.92823541450373,228.94,177.528,17.427,20
person-2,Experiment 3 (5×4 dots),1,1,1,35.12757606211964,229.24,177.478,17.764,15
person-2,Experiment 3 (5×4 dots),4,1,1,60.66841764872395,229.25,179.269,19.562,57
person-2,3×3 (×2),2,-1,1,88.3,140.83,179.741,1.004,16
person-2,3×3 (×2),-1,-1,1,85.66,135.76,-179.469,-2.189,18
person-2,3×3 (×2),1,-1,1,56.19,139.35,-179.519,-1.312,18
person-2,3×3 (×2),1,2,1,70.72,140.46,179.997,-0.709,16
person-2,3×3 (×2),2,1,1,117.91,141.95,179.825,1.674,18
person-2,3×3 (×2),2,2,1,112.97,141.29,178.73,-0.031,16
person-2,3×3 (×2),1,1,1,63.21,139.95,179.395,1.442,20
person-2,3×3 (×2),-1,1,1,95.76,137.9,179.359,-0.394,20
person-2,3×3 (×2),-1,2,0,158.48,137.19,176.571,0.144,20
person-2,3×3 (×2),1,2,1,87.56,139.76,177.304,0.921,16
person-2,3×3 (×2),-1,2,0,144.21,137.5,177.215,-0.393,20
person-2,3×3 (×2),-1,1,1,77.59,137.41,177.803,-0.074,20
person-2,3×3 (×2),2,2,0,150.69,143.46,178.45,2.965,18
person-2,3×3 (×2),-1,-1,1,38.76,139.35,178.532,0.773,18
person-2,3×3 (×2),1,1,1,99.44,142.16,179.131,2.992,20
person-2,3×3 (×2),2,-1,0,141.04,144.24,179.398,4.273,18
person-2,3×3 (×2),1,-1,1,89.65,141.75,179.715,3.091,16
person-2,3×3 (×2),2,1,0,213.19,144.28,178.994,4.413,16
person-2,9×9,8,4,0,318.4,149.76,179.075,5.552,18
person-2,9×9,2,8,0,129.15,148.13,177.763,4.449,20
person-2,9×9,2,6,0,98.94,148.46,178.347,4.273,16
person-2,9×9,5,2,0,247.01,149.6,179.207,4.311,18
person-2,9×9,8,5,0,328.72,151.55,179.468,6.357,18
person-2,9×9,5,8,0,262.43,152.46,178.521,6.708,16
person-2,9×9,3,-1,0,195.96,150.41,179.98,5.932,18
person-2,9×9,7,1,0,349.0,154.31,-179.743,7.373,22
person-2,9×9,3,5,0,226.94,151.77,179.629,6.628,16
person-2,9×9,1,7,0,160.32,150.94,179.556,6.029,16
person-2,9×9,2,7,0,167.89,152.29,179.784,6.237,16
person-2,9×9,-1,4,0,230.74,150.64,178.786,5.663,20
person-2,9×9,2,5,0,213.36,152.34,178.783,6.556,16
person-2,9×9,7,8,0,334.44,156.78,178.509,8.311,16
person-2,9×9,7,6,0,309.78,155.55,178.677,8.25,18
person-2,9×9,8,-1,0,326.23,157.27,179.939,9.283,20
person-2,9×9,6,8,0,272.28,157.21,179.063,8.81,14
person-2,9×9,3,4,0,234.71,155.07,178.775,8.267,16
person-2,9×9,7,4,0,291.27,154.09,178.874,8.803,20
person-2,9×9,-1,1,0,147.4,149.51,-179.328,6.495,16
person-2,9×9,6,-1,0,265.3,155.38,179.423,9.206,18
person-2,9×9,5,1,0,224.53,153.32,179.913,8.563,20
person-2,9×9,8,3,0,333.83,154.68,179.513,9.342,16
person-2,9×9,5,-1,0,243.43,154.32,179.983,9.188,18
person-2,9×9,1,8,0,114.97,151.91,178.717,6.821,20
person-2,9×9,4,8,0,220.99,153.18,178.807,8.896,16
person-2,9×9,-1,3,0,142.09,150.85,178.806,7.166,16
person-2,9×9,8,8,0,340.21,155.33,178.993,8.936,16
person-2,9×9,3,3,0,212.08,154.86,179.746,8.957,18
person-2,9×9,3,8,0,166.24,153.09,178.979,9.209,16
person-2,9×9,5,5,0,241.27,153.05,178.826,8.185,16
person-2,9×9,4,2,0,181.55,153.49,178.949,8.18,16
person-2,9×9,3,6,0,173.41,151.98,178.833,8.319,20
person-2,9×9,1,3,0,134.95,150.19,179.59,7.394,18
person-2,9×9,4,6,0,221.02,154.12,178.699,8.495,16
person-2,9×9,4,7,0,195.44,153.21,178.297,8.961,18
person-2,9×9,1,5,0,111.44,152.24,178.647,7.458,18
person-2,9×9,6,1,0,259.05,154.42,179.743,9.542,16
person-2,9×9,-1,5,0,116.73,151.79,177.943,7.746,18
person-2,9×9,-1,7,0,149.96,151.51,178.354,7.501,18
person-2,9×9,6,4,0,300.7,155.62,179.193,9.917,18
person-2,9×9,-1,2,0,167.88,151.34,179.006,7.33,14
person-2,9×9,3,7,0,202.42,154.5,179.063,9.493,16
person-2,9×9,4,1,0,227.02,154.64,179.313,9.692,18
person-2,9×9,3,2,0,201.75,154.12,-179.951,10.298,22
person-2,9×9,-1,8,0,80.17,151.62,179.247,8.459,18
person-2,9×9,2,2,0,179.69,153.61,-179.61,9.43,14
person-2,9×9,6,2,0,257.83,151.97,-178.147,9.801,16
person-2,9×9,5,3,0,241.47,152.18,-179.027,10.152,20
person-2,9×9,6,6,0,281.29,152.88,-178.594,10.673,14
person-2,9×9,8,2,0,307.93,154.04,-179.344,12.034,16
person-2,9×9,4,5,0,191.33,154.05,-178.741,11.623,18
person-2,9×9,1,2,0,196.56,150.82,-178.686,9.969,16
person-2,9×9,2,4,0,247.33,152.82,-178.412,10.797,18
person-2,9×9,4,3,0,284.16,154.06,-178.242,11.74,18
person-2,9×9,5,7,0,240.0,155.22,-178.89,12.962,18
person-2,9×9,7,5,0,331.65,156.81,-178.808,14.099,20
person-2,9×9,2,3,0,213.66,155.78,-178.118,12.728,18
person-2,9×9,8,1,0,306.23,156.03,-178.861,13.856,16
person-2,9×9,1,1,0,179.23,154.56,-178.511,12.536,18
person-2,9×9,1,-1,0,191.84,153.87,-179.408,13.469,16
person-2,9×9,6,5,0,290.09,157.04,-179.104,15.8,16
person-2,9×9,1,6,0,163.33,156.04,-179.562,14.091,20
person-2,9×9,7,-1,0,316.58,158.88,-177.713,15.53,18
person-2,9×9,4,4,0,299.19,156.82,-178.972,15.673,18
person-2,9×9,8,7,0,327.43,156.85,-178.426,15.188,18
person-2,9×9,6,3,0,260.2,157.75,-178.438,15.258,22
person-2,9×9,5,4,0,304.69,157.02,-179.096,15.721,16
person-2,9×9,5,6,0,261.51,155.7,-179.83,16.231,18
person-2,9×9,8,6,0,274.16,157.17,-179.034,15.327,18
person-2,9×9,-1,6,0,176.61,155.58,-178.892,14.684,18
person-2,9×9,-1,-1,0,220.91,155.32,-178.913,14.396,16
person-2,9×9,7,3,0,338.56,156.94,-178.481,15.924,18
person-2,9×9,1,4,0,236.12,154.88,-179.044,14.691,18
person-2,9×9,6,7,0,315.94,157.51,-179.038,16.477,16
person-2,9×9,7,2,0,314.15,158.09,-178.387,17.044,16
person-2,9×9,7,7,0,285.13,157.77,-179.105,16.51,14
person-2,9×9,2,-1,0,241.71,156.43,-179.128,15.709,16
person-2,9×9,2,1,0,243.01,157.02,-178.837,15.885,18
person-2,9×9,4,-1,0,256.76,158.46,-178.011,16.104,20
person-2,9×9,3,1,0,253.53,158.14,-179.031,16.403,16
person-2,6×9,1,4,0,151.11,126.37,-178.427,2.358,24
person-2,6×9,3,7,1,23.48,127.45,-179.31,3.485,18
person-2,6×9,5,2,1,13.89,126.74,-177.846,3.719,20
person-2,6×9,1,6,0,112.73,125.59,-179.713,2.92,20
person-2,6×9,5,-1,1,13.36,127.72,-178.396,4.076,22
person-2,6×9,5,5,1,34.88,126.11,-178.619,3.814,18
person-2,6×9,5,8,0,50.58,126.23,-179.676,3.729,22
person-2,6×9,3,4,1,11.85,128.11,-179.22,5.218,18
person-2,6×9,5,4,0,59.48,126.69,-178.956,4.746,22
person-2,6×9,1,2,0,157.05,125.14,-178.242,4.823,18
person-2,6×9,2,7,0,79.62,126.96,179.687,5.086,16
person-2,6×9,3,3,1,20.05,128.46,-179.092,6.063,18
person-2,6×9,3,-1,1,21.55,126.42,-178.344,6.011,16
person-2,6×9,1,8,0,209.3,125.58,-179.31,5.484,18
person-2,6×9,4,-1,0,118.39,126.82,-178.107,6.415,20
person-2,6×9,1,5,0,198.88,125.44,-179.484,6.139,18
person-2,6×9,4,5,0,208.21,125.79,-178.022,6.472,14
person-2,6×9,-1,8,0,283.82,124.58,179.511,5.829,18
person-2,6×9,2,5,0,185.57,124.89,-179.332,6.616,16
person-2,6×9,4,6,0,187.6,125.15,-179.112,5.9,18
person-2,6×9,1,3,0,234.89,124.36,-178.447,5.615,16
person-2,6×9,2,4,0,161.6,125.35,-178.572,6.512,16
person-2,6×9,-1,6,0,148.56,124.05,-179.116,6.152,18
person-2,6×9,2,1,0,144.12,127.3,-178.722,7.904,20
person-2,6×9,2,6,0,154.52,126.37,-179.106,7.021,18
person-2,6×9,-1,4,0,125.25,124.65,-179.669,5.59,16
person-2,6×9,4,2,0,195.26,128.13,-178.901,8.122,20
person-2,6×9,3,5,0,173.15,128.02,-179.955,8.298,18
person-2,6×9,2,3,0,161.48,128.79,-179.438,8.906,16
person-2,6×9,3,1,0,181.89,129.59,-179.405,8.559,18
person-2,6×9,4,4,0,231.07,128.8,-178.507,8.011,16
person-2,6×9,2,8,0,167.92,128.74,179.961,8.788,20
person-2,6×9,-1,5,0,97.29,127.27,-179.711,8.092,20
person-2,6×9,4,8,0,218.72,128.71,-179.583,8.343,22
person-2,6×9,-1,-1,0,149.79,126.43,-178.927,7.464,16
person-2,6×9,5,7,0,261.47,127.54,-179.559,8.679,16
person-2,6×9,3,8,0,153.94,129.48,-179.185,9.386,16
person-2,6×9,5,3,0,220.27,129.27,-178.933,8.825,18
person-2,6×9,2,-1,0,117.03,129.08,-178.016,8.831,18
person-2,6×9,4,3,0,232.76,128.68,-177.999,9.349,16
person-2,6×9,5,6,0,249.01,129.91,-178.932,9.279,18
person-2,6×9,5,1,0,215.74,129.89,-179.088,8.265,14
person-2,6×9,1,7,0,183.28,129.72,179.956,8.714,14
person-2,6×9,1,-1,0,128.95,128.89,-179.216,9.145,18
person-2,6×9,4,1,0,200.81,130.39,-179.222,9.235,18
person-2,6×9,-1,2,0,100.41,127.6,-179.082,8.055,18
person-2,6×9,-1,7,0,133.09,127.83,179.328,8.546,20
person-2,6×9,4,7,0,220.9,130.38,-179.377,9.693,18
person-2,6×9,1,1,0,116.18,130.01,-179.692,9.285,20
person-2,6×9,-1,3,0,80.89,128.42,-179.965,8.682,16
person-2,6×9,3,2,0,169.76,130.36,-179.497,10.265,18
person-2,6×9,3,6,0,255.74,131.07,179.872,10.311,20
person-2,6×9,-1,1,0,61.66,129.87,-179.378,9.565,18
person-2,6×9,2,2,0,176.49,132.62,179.95,11.672,16
person-2,4×5,-1,3,0,181.86,126.75,-178.45,-4.451,24
person-2,4×5,1,2,0,179.87,129.24,-179.443,-2.53,24
person-2,4×5,2,4,0,168.18,131.21,-179.733,-1.471,24
person-2,4×5,3,1,0,241.14,130.92,-178.084,-1.628,24
person-2,4×5,2,-1,0,185.78,130.36,-178.59,-1.624,21
person-2,4×5,3,4,0,246.0,131.73,-179.967,-1.27,27
person-2,4×5,2,3,0,185.82,131.42,-179.271,-0.897,21
person-2,4×5,3,3,0,255.94,132.04,-179.231,-0.85,27
person-2,4×5,-1,-1,0,156.71,129.07,-178.679,-1.98,24
person-2,4×5,1,4,0,178.09,130.11,179.466,-1.707,21
person-2,4×5,-1,1,0,206.6,127.6,-179.817,-2.692,18
person-2,4×5,1,-1,0,210.1,129.67,-179.633,-1.68,24
person-2,4×5,2,1,0,202.08,131.06,-179.509,-0.806,24
person-2,4×5,1,1,0,176.02,129.8,-179.46,-1.014,26
person-2,4×5,2,2,0,193.89,130.34,-179.6,-0.898,20
person-2,4×5,3,-1,0,201.58,131.46,-179.682,-0.471,21
person-2,4×5,3,2,0,194.15,130.12,-179.982,-0.484,23
person-2,4×5,1,3,0,165.47,127.97,179.805,-1.474,26
person-2,4×5,-1,2,0,162.45,127.35,-179.187,-2.403,24
person-2,4×5,-1,4,0,125.9,128.6,179.233,-2.33,26
person-2,4×5,-1,2,0,165.94,139.11,-178.279,4.241,23
person-2,4×5,-1,4,0,138.7,140.68,-179.205,4.687,23
person-2,4×5,3,1,0,146.57,144.19,-178.177,6.902,20
person-2,4×5,2,3,1,52.36,143.23,-177.949,6.431,24
person-2,4×5,3,2,1,71.51,144.06,-177.847,7.143,22
person-2,4×5,2,2,1,65.37,144.75,-178.391,7.562,24
person-2,4×5,3,-1,1,75.16,145.58,-177.188,7.533,22
person-2,4×5,1,1,1,31.54,143.18,-178.222,6.334,24
person-2,4×5,2,1,1,81.87,144.33,-178.515,7.245,19
person-2,4×5,1,3,1,62.77,143.08,-178.701,6.915,20
person-2,4×5,3,4,0,103.72,144.95,-178.131,8.27,22
person-2,4×5,-1,-1,1,81.65,141.48,-178.071,6.003,19
person-2,4×5,1,2,1,91.7,143.47,-177.746,8.252,23
person-2,4×5,2,-1,0,88.47,144.62,-177.026,8.352,17
person-2,4×5,2,4,1,55.56,145.1,-177.42,9.209,23
person-2,4×5,-1,3,0,151.16,141.04,-177.06,8.234,28
person-2,4×5,1,-1,0,102.35,144.64,-176.139,9.678,23
person-2,4×5,3,3,1,61.81,146.03,-176.707,9.722,20
person-2,4×5,-1,1,0,150.84,141.84,-175.563,8.24,23
person-2,4×5,1,4,0,100.17,144.04,-176.799,9.71,23
person-2,5×4,-1,2,0,113.93,163.08,-179.516,5.669,21
person-2,5×4,3,2,0,244.27,164.41,-178.763,7.407,17
person-2,5×4,4,2,0,275.48,165.93,-178.868,8.578,23
person-2,5×4,4,1,0,294.37,166.46,-178.204,7.787,27
person-2,5×4,3,3,0,265.64,165.79,-179.462,8.496,18
person-2,5×4,1,1,0,278.95,166.49,-178.513,7.542,17
person-2,5×4,2,3,0,298.35,167.35,-179.524,8.498,21
person-2,5×4,2,-1,0,304.93,168.23,-178.961,8.361,18
person-2,5×4,2,1,0,312.51,168.25,-178.849,8.705,18
person-2,5×4,4,-1,0,330.88,170.51,-177.472,9.544,24
person-2,5×4,4,3,0,270.41,168.54,-177.471,10.333,21
person-2,5×4,-1,-1,0,210.68,166.1,-178.68,9.08,26
person-2,5×4,1,2,0,281.0,168.23,-178.607,10.509,25
person-2,5×4,1,-1,0,283.71,168.26,-178.012,10.166,22
person-2,5×4,2,2,0,296.71,168.56,-177.933,9.697,25
person-2,5×4,3,1,0,286.25,170.01,-177.833,10.799,22
person-2,5×4,-1,1,0,220.21,167.78,-178.041,10.397,23
person-2,5×4,3,-1,0,316.23,170.4,-177.259,12.147,21
person-2,5×4,1,3,0,305.51,169.77,-178.314,11.294,25
person-2,5×4,-1,3,0,239.7,168.35,-178.63,9.898,19
person-2,5×4,2,-1,0,128.43,142.5,177.437,2.124,21
person-2,5×4,-1,3,0,73.61,140.88,176.321,1.495,21
person-2,5×4,4,-1,0,154.08,145.54,177.748,3.371,21
