t_s,trial,cell_idx,row,col,target_x,target_y,phase,pred_x,pred_y,err_pt,in_cell,head_yaw_deg,head_pitch_deg,head_roll_deg,head_tx_mm,head_ty_mm,head_tz_mm,eye_cam_x_mm,eye_cam_y_mm,eye_cam_z_mm,pupil_left_px,pupil_right_px,raw_pitch_deg,raw_yaw_deg,raw_pred_x,raw_pred_y,filt_pitch_deg,filt_yaw_deg,filt_pred_x,filt_pred_y,ear,blink_held
4.3256,2,7,2,1,201.00,648.33,capture,229.69,590.14,64.88,1,179.907,4.622,179.110,-13.32,25.85,146.36,-13.33,-3.82,171.45,54.863,55.518,-33.1967,-2.0660,229.69,590.14,-33.1166,-1.7286,,,0.24354,0
4.4230,2,7,2,1,201.00,648.33,capture,224.83,604.47,49.92,1,179.979,4.579,178.818,-13.38,25.81,146.73,-13.33,-3.62,171.61,55.466,55.945,-35.0020,-1.1583,224.83,604.47,-34.4548,-1.4208,,,0.24053,0
4.5236,2,7,2,1,201.00,648.33,capture,217.86,547.83,101.91,1,179.390,4.639,179.192,-13.35,25.82,147.04,-13.31,-3.68,172.21,55.016,55.698,-32.5798,-1.0427,217.86,547.83,-33.4050,-1.2524,,,0.21839,0
4.6245,2,7,2,1,201.00,648.33,capture,217.71,567.03,83.00,1,179.737,4.534,179.511,-13.33,25.85,147.08,-13.41,-3.85,172.44,55.053,55.401,-32.3694,-1.2956,217.71,567.03,-32.7193,-1.2712,,,0.23033,0
4.7251,2,7,2,1,201.00,648.33,capture,216.58,558.23,91.44,1,179.760,4.500,179.558,-13.33,25.82,147.34,-13.35,-3.77,172.51,54.905,54.845,-33.0101,-1.8554,216.58,558.23,-32.8805,-1.5972,,,0.23181,0
4.8251,2,7,2,1,201.00,648.33,capture,252.91,629.04,55.38,1,179.681,4.502,179.412,-13.45,25.81,147.19,-13.34,-3.71,172.37,55.038,54.238,-35.7991,-0.4655,252.91,629.04,-35.0573,-0.9356,,,0.22080,0
4.9249,2,7,2,1,201.00,648.33,capture,235.93,608.74,52.80,1,179.004,4.514,-179.963,-13.45,25.83,146.93,-13.41,-3.68,172.04,56.049,55.724,-34.4679,-1.3621,235.93,608.74,-34.6955,-1.1241,,,0.25104,0
5.0244,2,7,2,1,201.00,648.33,capture,239.24,582.40,76.22,1,179.268,4.515,179.395,-13.31,25.86,146.80,-13.19,-3.74,171.95,54.346,54.640,-32.7265,-0.3713,239.24,582.40,-33.4050,-0.6835,,,0.25667,0
5.1236,2,7,2,1,201.00,648.33,capture,250.79,555.77,105.10,1,179.111,4.564,179.392,-13.42,25.90,146.75,-13.49,-3.66,171.89,54.154,54.466,-33.2789,0.8471,250.79,555.77,-33.3281,0.4030,,,0.23353,0
5.2270,2,7,2,1,201.00,648.33,capture,205.79,564.99,83.48,1,179.508,4.458,179.364,-13.37,25.95,146.60,-13.41,-3.61,171.68,54.489,54.782,-33.0275,-1.5463,205.79,564.99,-33.1452,-0.7323,,,0.21880,0
